Afghanistan Kabul Albania Tirana
Algeria Algiers Angola Luanda
Armenia Yerevan Aruba Oranjestad
Australia Canberra Austria Vienna
Azerbaijan Baku Bahamas Nassau
Bahrain Manama Bangladesh Dhaka
Barbados Bridgetown Belarus Minsk 	
Belgium Brussels Belize Belmopan
Bhutan Thimphu Bolivia Sucre
Botswana Gaborone Brazil Brasília
Bulgaria Sofia Burundi Bujumbura
Cameroon Yaoundé Canada Ottawa
Bermuda Hamilton Chile Santiago
China Beijing Colombia Bogotá
Comoros Moroni Croatia Zagreb
Cuba Havana Curaçao Willemstad
Cyprus Nicosia Denmark Copenhagen
Ecuador Quito Egypt Cairo
Eritrea Asmara Estonia Tallinn
Fiji Suva Finland Helsinki
France Paris Gabon Libreville
Gambia Banjul Georgia Tbilisi
Germany Berlin Ghana Accra
Gibraltar Gibraltar Greece Athens
Greenland Nuuk Guinea Conakry
Guyana Georgetown Honduras Tegucigalpa
Hungary Budapest Iceland Reykjavík
Indonesia Jakarta Iran Tehran
Iraq Baghdad Ireland Dublin
Israel Jerusalem Italy Rome
Jamaica Kingston Japan Tokyo
Jordan Amman Kazakhstan Astana
Kenya Nairobi Kiribati Tarawa
Kosovo Pristina Kyrgyzstan Bishkek
Laos Vientiane Latvia Riga
Lebanon Beirut Lesotho Maseru
Liberia Monrovia Libya Tripoli
Liechtenstein Vaduz Lithuania Vilnius
Macedonia Skopje Madagascar Antananarivo
Malawi Lilongwe Maldives Malé
Mali Bamako Malta Valletta
Mauritania Nouakchott Moldova Chisinau
Monaco Monaco Mongolia Ulaanbaatar
Montenegro Podgorica Montserrat Plymouth
Morocco Rabat Mozambique Maputo
Myanmar Naypyidaw Namibia Windhoek
Nauru Yaren Nepal Kathmandu
Netherlands Amsterdam Nicaragua Managua
Niger Niamey Nigeria Abuja
Niue Alofi Norway Oslo
Oman Muscat Pakistan Islamabad
Paraguay Asunción Peru Lima
Philippines Manila Poland Warsaw
Portugal Lisbon Qatar Doha
Romania Bucharest Russia Moscow
Rwanda Kigali Samoa Apia
Scotland Edinburgh Senegal Dakar
Serbia Belgrade Seychelles Victoria
Singapore Singapore Slovakia Bratislava
Slovenia Ljubljana Somalia Mogadishu
Somaliland Hargeisa Spain Madrid
Sudan Khartoum Suriname Paramaribo
Swaziland Mbabane Sweden Stockholm
Switzerland Bern Syria Damascus
Tajikistan Dushanbe Tanzania Dodoma
Thailand Bangkok Togo Lomé
Transnistria Tiraspol Tunisia Tunis
Turkey Ankara Turkmenistan Ashgabat
Tuvalu Funafuti Uganda Kampala
Ukraine Kiev Uruguay Montevideo
Uzbekistan Tashkent Vanuatu Port Vila
Venezuela Caracas Vietnam Hanoi
Wales Cardiff Palestine Jerusalem
Zambia Lusaka Zimbabwe Harare
